date,flow
2000-9,NaN
2000-10,NaN
2000-11,NaN
2000-12,4577
2001-1,5852
2001-2,5850
2001-3,13320
2001-4,13460
2001-5,14140
2001-6,7096
2001-7,4512
2001-8,3142
2001-9,4591
2001-10,4643
2001-11,4786
2001-12,5114
2002-1,4587
2002-2,4489
2002-3,7423
2002-4,6296
2002-5,6072
2002-6,4693
2002-7,1141
2002-8,2284
2002-9,2435
2002-10,3719
2002-11,3998
2002-12,4049
2003-1,2810
2003-2,3989
2003-3,5906
2003-4,5957
2003-5,9900
2003-6,6078
2003-7,3105
2003-8,1417
2003-9,2494
2003-10,2556
2003-11,3323
2003-12,3411
2004-1,2289
2004-2,6726
2004-3,8296
2004-4,4534
2004-5,7007
2004-6,6316
2004-7,5544
2004-8,2029
2004-9,2415
2004-10,3089
2004-11,4622
2004-12,3890
2005-1,3148
2005-2,6706
2005-3,5467
2005-4,7924
2005-5,8729
2005-6,10940
2005-7,3116
2005-8,2168
2005-9,2255
2005-10,3071
2005-11,3585
2005-12,5370
2006-1,5013
2006-2,4495
2006-3,5499
2006-4,7896
2006-5,3764
2006-6,2489
2006-7,1422
2006-8,2454
2006-9,4981
2006-10,3829
2006-11,3919
2006-12,4431
2007-1,4723
2007-2,13850
2007-3,11080
2007-4,12080
2007-5,13790
2007-6,12950
2007-7,4008
2007-8,9654
2007-9,5700
2007-10,11590
2007-11,7797
2007-12,6865
2008-1,6592
2008-2,9586
2008-3,10760
2008-4,10120
2008-5,16780
2008-6,28540
2008-7,9538
2008-8,4277
2008-9,4329
2008-10,10580
2008-11,10140
2008-12,6594
2009-1,9975
2009-2,13050
2009-3,9066
2009-4,8939
2009-5,6685
2009-6,12060
2009-7,6555
2009-8,6178
2009-9,6219
2009-10,8029
2009-11,9690
2009-12,5647
2010-1,4645
2010-2,6652
2010-3,20180
2010-4,8707
2010-5,8912
2010-6,51120
2010-7,15890
2010-8,8518
2010-9,7602
2010-10,7329
2010-11,8061
2010-12,7433
2011-1,8302
2011-2,11850
2011-3,11740
2011-4,13740
2011-5,15990
2011-6,20670
2011-7,16310
2011-8,9538
2011-9,7602
2011-10,8923
2011-11,8549
2011-12,8024
2012-1,7148
2012-2,8823
2012-3,9084
2012-4,8371
2012-5,7512
2012-6,4551
2012-7,1107
2012-8,581
2012-9,1120
2012-10,2256
2012-11,3533
2012-12,3119
2013-1,3558
2013-2,4976
2013-3,6305
2013-4,7542
2013-5,7539
2013-6,7056
2013-7,2409
2013-8,3754
2013-9,1908
2013-10,9659
2013-11,6194
2013-12,6885
2014-1, NaN
2014-2, NaN
2014-3,7659
2014-4,6173
2014-5,7424
2014-6,18617
2014-7,7804
2014-8,6422
2014-9,8505
2014-10,7811
2014-11,6013
2014-12,NaN
2015-1,NaN
2015-2,NaN
